Name,Calories,FatContent,CarbohydrateContent,ProteinContent,SugarContent,SodiumContent,Images,cluster
Festival Refried Beans,44.8,0.2,9.5,2.3,2.5,360.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/70/1/picA0ELLP.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/70/1/pic7x9EG4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/70/1/pic6TfmZu.jpg"")",0
Chicken Breasts With Cheese Sauce,533.9,21.2,21.9,60.3,0.7,535.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/48/AS78f5tcSPudHekF5GfP_Chicken%20Breast%20with%20Cheddar%20Cheese%20Sauce.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/48/picnOaWsd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/48/picJttNlu.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/48/pic7Vy43Z.jpg""
)",5
The Whole Earth Cracked Wheat Bread,1086.2,19.6,213.8,32.5,49.9,1193.9,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/26/52/picMUs01M.jpg""",5
Corn Chowder (Crock Pot),353.5,7.2,71.7,9.8,8.4,449.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/39/OVxnSO7TPCbjQEbgxdaK_corn-chowder-1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/39/lxWKNSoqSmmu0nJfMAZv_corn-chowder-2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/39/4EAInEhTeu8Or1TKKOoD_corn-chowder-4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/39/picMnAq3T.jpg""
)",0
Corn Relish for canning,655.2,7.0,146.3,15.8,72.5,416.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/71/1/picv8GOvu.jpg""",0
Apple Scones,135.5,4.4,21.4,2.5,4.8,249.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/79/picPf2hQx.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/79/DElAOT8fQIyZkKXQMgWD-20140101_211221_resized.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/79/ZK0AgWlyQwWWV5XOqt7B-20140101_210131_resized.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/79/picBrpSH6.jpg""
)",0
Ginger Apple Vinegar,66.4,0.0,6.4,0.0,5.2,11.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/80/pic4ZvR7q.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/80/picoyeck5.jpg"")",0
Grilled Avocado Toast,3807.3,102.6,605.9,126.5,33.6,5279.2,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/7/pPz9Z7FDSAlhXaPL11pe_image.jpg""",2
Beef & Pork Meatloaf & Onion Gravy,369.7,16.2,24.9,28.7,2.9,911.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/42/aiRoJdSRpKJpIXMyGFmB_14189592101861453484754.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/42/gPuuwm3QfGKzr402X0g7_14189590777641529650595.jpg"")",0
Asparagus Casserole,212.3,15.7,7.0,12.2,2.1,599.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/72/20/picXxKDYB.jpg""",0
Northwest Creamy Smoked Salmon Fettuccine Alfredo,669.3,50.0,37.6,18.7,2.8,766.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/30/9/pic14SJ9E.jpg""",5
Chicken and Dumplings Like Cracker Barrel's,710.5,41.4,33.4,47.7,1.6,1275.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/u4DlxRTdaDJxHWsNIFUQ_dumplings%202.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/YlNGg5TOQzehBUgxeWWT_IMG_1921.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/picwriVuz.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/pic8KA2xJ.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/pic27IeF6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/picT0RXIM.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/GmWnTLPuQr2zpRnAtk95_dumplings%203.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/00/X4p9gjdTsmtbaq94GmBq_dumplings%201.jpg""
)",5
Chocolate Pound Cake,2905.2,168.7,321.9,38.2,178.0,1092.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/0/picecIIb4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/0/pic7egTmQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/0/picQ2WcHF.jpg"")",2
Microwave Tuna Casserole,745.2,35.9,71.1,35.2,11.3,2097.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/71/picZIgznV.jpg""",5
Cinnamon French Toast,3107.3,23.9,583.9,136.3,27.5,5470.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/13/picO2tjry.jpg""",2
Sweet Onion and Mushroom Casserole,352.4,30.1,14.6,8.3,5.6,582.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/87/7/oA5GWtaaQd6ar0YWNEzC-2013-11-21-21.24.57.jpg""",0
Southern Chicken and Dumplings,784.8,50.1,34.9,45.5,0.1,1223.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/83/picUXKo7k.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/50/83/picgmUMRT.jpg"")",5
Baked Trout with Garlic & Mushrooms,825.8,53.9,10.6,73.7,2.4,304.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/2/01477079869.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/2/01473818716.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/2/picbhIgO4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/2/pic4XW4zz.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/2/picSP6EXS.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/2/picx6zXiv.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/2/picoiLEux.jpg"")",5
Honey Mustard Pasta Salad,1335.8,62.3,140.5,77.4,55.3,12853.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/90/4/pic6oILCh.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/90/4/pic2uGuX6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/90/4/picu02gjG.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/90/4/piczJOiWq.jpg"")",5
Iced Vanilla Coffee,218.2,11.2,15.8,10.2,0.8,151.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/69/6/pic2PbU1I.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/69/6/piclmaTcu.jpg"")",0
Beer Can Chicken,771.5,53.2,5.2,57.9,0.6,358.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/26/50/picB5PkRg.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/26/50/pic3cbODl.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/26/50/piccQ2Ep6.jpg"")",5
Pie Crust,548.1,36.9,47.7,6.5,0.2,583.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/0/pickXrLRk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/0/picXIpxYH.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/0/picjDCx55.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/0/pickHpVnY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/0/picPGtJik.jpg""
)",0
Thai Sweet Chili Sauce,36.8,0.1,9.1,0.3,6.5,355.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/81/picEuZ5Lc.jpg""",0
Stuffed Summer Squash,31.4,0.3,6.6,2.4,4.3,3.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/72/16/pic1w6T3g.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/72/16/picQPCVgn.jpg"")",0
Madwizard's Pumpkin Cookies,106.4,3.7,17.1,1.4,8.7,96.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/17/picKtbShP.jpg""",0
Sky High Biscuits,240.1,13.1,26.8,4.8,2.2,331.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/43/0/picx3oJSg.jpg""",0
Swedish Nut Cake,763.2,32.0,113.9,9.6,84.3,584.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/20/4/picxUjhtd.jpg""",0
Crock Pot Bean Dip,1982.6,141.5,96.0,92.6,20.4,5314.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/42/picYICccI.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/42/pic62H7P9.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/42/picVikuRn.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/42/picnRjKL0.jpg"")",2
Chocolate Almond Roca Bar,2923.7,195.8,292.6,36.9,214.5,1739.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/65/8/picswqeGs.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/65/8/picq5Db5A.jpg"")",2
Peach Cake II,2651.4,132.6,357.6,25.1,245.2,2487.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/37/95/pic2XltjP.jpg""",2
Cinnamon French Toast,3107.3,23.9,583.9,136.3,27.5,5470.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/13/picO2tjry.jpg""",2
crisp topping,9714.0,402.9,1424.1,135.7,680.3,5425.2,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/92/8/picajaWzQ.jpg""",4
Low-Fat Chicken With Caramelized Onions,168.6,3.3,6.6,25.8,4.2,614.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/63/pichL4aOR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/63/pic2P2qO4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/63/picNQ8ALa.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/63/picmCCZlg.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/63/picXbfH5O.jpg""
)",0
Spinach Artichoke Dip,150.2,11.3,5.5,7.7,1.4,291.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/Q1us4KDT27bPD0yngmgv_0S9A2706.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/pic9PXAJr.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/94wtheU1QQyNljw4Clts_Spinach%20Artichoke%20Dip.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/nRzlWGFKR3STxeNPYv4C_0S9A2666.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/sJtDg2MlSmCwGDu0Zfyj_image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/xJZL96kUQMmHnFc9KiPZ-Spinach-Artichoke-Dip---1209-3.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/piciZfDLs.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/1209/rTBwMrZYSg61PLVuqQbD_2051573224866800.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/VBF4YS4ScqkD2Rio6Rva_0S9A2680.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/HitWaJ90RrKRngCMTg39_image.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/01479068632.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/01472350347.jpeg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/01462846371.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/REplDMh9RO6yIEccq4N0_image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/HiJf1D75QLS9kHjklDpl_1403916925963.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/3CaYgQXcTVi94254gMp0-spinach-artichoke-dip.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/VoyR4o1uT2G1DVhlcpVR-Spinach-Artichoke-Dip---1209-4.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/ZPRjBLBeSUyTXjnLz82W-Spinach-Artichoke-Dip---1209-2.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/H203WgmtRbyqGMnc0hTv-Spinach-Artichoke-Dip---1209-1.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/BTC25DnESTO27aWcVruK-20131127_215136.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picMYPTAo.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picSGCckQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/pic7GkHr7.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picZ4LBnr.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picHQnQOQ.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picacl23f.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/01462846237.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/01459837447.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/9MRaIcrUSkSQIeHnhq4v-image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/4TYtxRHMSUqMKbOlzf9K-image.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/GdovI5SSzeYQto08d39Q-image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/ALtsLmvVQGGbvdMu5mG2-20131127_202641.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picoVEe91.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picpY5uUz.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picvFr0qU.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picnrpwfN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/picBp8fXf.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/09/pic5mK4xt.jpg"")",0
Chicken and Mushroom Soup,592.6,40.7,11.9,31.0,5.1,422.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/55/3hB3cTdSjhAQVRngbMow_Chicken%20and%20Mushroom%20Soup%20To%20TRY.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/55/picGANJNK.jpg"")",5
Kathy's Meaty Spaghetti Sauce,1153.2,82.9,39.7,64.4,22.7,3781.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/55/6/picYm270U.jpg""",5
"Zucchini Salsa, Canned",211.9,1.8,46.2,5.5,34.9,3826.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picCzHyTa.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/11217/a9QIgqdiQp6RWgKz3CnS_012301835c94e6ba1f7102c300ac8108c6c64d06ef_00001.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picIdtbi6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picn7xWfS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picSzxrTP.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/01505376484.jpeg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/11217/02tJ3h1oT1ShSxmHlnN4_IMG_2098.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picNsTS2q.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picosmVqI.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picHkBy5c.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picQMti8u.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picwnR6tq.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/pic07Qa5C.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/pic3Gu4Rd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picss6Su1.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/21/7/picI63jTF.jpg"")",0
Rainbow Cake,4874.3,221.6,651.2,80.1,352.8,2958.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/61/pic7dfy13.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/61/pic8EP1Nb.jpg"")",1
Daddy's Kettle Corn,174.0,13.7,13.5,0.2,12.5,0.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/50/1/ABu1kmxnSzKh4brc8zdc-Daddy-s-Kettle-Corn---12501-3.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/50/1/TA1sEeOQTXW9Pex539fg-Daddy-s-Kettle-Corn---12501-2.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/50/1/f9NFZlGWTCiOb7oYUjRt-Daddy-s-Kettle-Corn---12501-4.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/50/1/ENJt7kfPShmW22k4r20g-Daddy-s-Kettle-Corn---12501-1.JPG""
)",0
Lemon Mint Lamb Chops,706.5,62.2,5.5,31.6,1.3,189.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/27/2/picdjVM3b.jpg""",5
Spaghetti Sauce,153.6,8.8,7.2,12.1,4.3,208.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/89/picZ4xFq9.jpg""",0
Grape-Nuts Pie,2257.0,49.9,452.2,26.4,245.6,1473.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/56/3/x5DL56UORN2WSzPK6bEL_IMG_4001.JPG""",2
Moroccan Cigars,1101.6,76.3,64.6,38.2,2.0,956.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/25/2/pic5o2rnK.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/25/2/picownpsr.jpg"")",5
Caribbean Chicken,178.0,5.0,2.2,29.6,0.3,572.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/47/piclOYWWB.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/47/pic2awMlD.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/47/picRupyJy.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/47/picJyStWF.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/20/47/picU6lDEA.jpg""
)",0
Dieter's Taco Salad,1124.2,88.8,61.0,22.9,16.7,925.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/70/80/picF1kvMX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/70/80/picSlmdz1.jpg"")",5
Cheese Diablo Wafers (Hot),219.0,16.9,9.9,7.1,0.2,222.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/70/39/picnbiPBv.jpg""",0
